Date,Open,High,Low,Close,Adj Close,Volume
1/24/2019,144.429993,145.759995,144.330002,145.470001,143.540604,16976300
1/25/2019,146.619995,147.639999,146.429993,147.339996,145.385788,22266900
1/28/2019,145.960007,146.910004,145.369995,146.550003,144.606277,22784700
1/29/2019,146.710007,146.820007,145.880005,146.199997,144.260925,12084800
1/30/2019,146.979996,148.339996,145.679993,147.800003,145.839691,25516900
1/31/2019,147.610001,149.300003,147.529999,149.059998,147.082993,27252900
2/1/2019,149.350006,149.679993,148.580002,149.179993,147.201401,17057900
2/4/2019,149.410004,150.970001,148.880005,150.960007,148.957794,21301700
2/5/2019,151.009995,151.600006,150.240005,151.119995,149.115646,18295900
2/6/2019,151.039993,151.369995,150.100006,150.929993,148.928177,13720600
2/7/2019,149.919998,150.699997,148.389999,149.690002,147.70462,22850800
2/8/2019,149.059998,149.899994,148.5,149.850006,147.862503,13463000
2/11/2019,150.289993,151.149994,149.630005,151.100006,149.095947,16374800
2/12/2019,151.919998,153.190002,151.880005,152.990005,150.960846,20779900
2/13/2019,153.419998,153.759995,152.699997,153.419998,151.385147,15534500
2/14/2019,152.580002,154.369995,152.399994,153.770004,151.73053,18251000
2/15/2019,154.779999,156.240005,154.270004,156.220001,154.14801,27240200
2/19/2019,155.550003,157.100006,155.550003,156.649994,154.572311,15856900
2/20/2019,156.660004,157.580002,156.529999,157.389999,155.302505,18317400
2/21/2019,157.130005,157.369995,156.059998,156.789993,154.710449,17497000
2/22/2019,157.270004,158.270004,157.100006,158.149994,156.052429,20411800
2/25/2019,159.080002,159.5,158.089996,158.190002,156.091888,17957100
2/26/2019,158.009995,158.190002,156.889999,157.100006,155.016357,21497300
2/27/2019,156.490005,157.440002,156.119995,157.320007,155.233444,18194900
2/28/2019,157.089996,157.479996,156.369995,156.779999,154.700607,18155300
3/1/2019,157.949997,158.339996,156.75,158.240005,156.141235,19247100
3/4/2019,158.539993,158.779999,155.589996,156.809998,154.730209,23301800
3/5/2019,156.940002,156.949997,155.960007,156.080002,154.009872,16798200
3/6/2019,156.020004,156.080002,152.880005,153.020004,150.990463,29604600
3/7/2019,153.020004,153.139999,151.369995,151.679993,149.668228,26822500
3/8/2019,150.839996,151.759995,150.610001,151.639999,149.628769,20466800
3/11/2019,152.110001,154.309998,151.899994,154.289993,152.243607,20854500
3/12/2019,154.399994,154.979996,153.800003,154.369995,152.322556,18966800
3/13/2019,154.919998,155.729996,154.75,154.979996,152.924454,24109100
3/14/2019,154.899994,155.020004,154.199997,154.350006,152.302826,14217500
3/15/2019,154.529999,155.869995,154.330002,154.759995,152.707382,22025900
3/18/2019,155.059998,156.449997,154.479996,155.75,153.68425,24510200
3/19/2019,156.479996,156.529999,154.570007,154.960007,152.904739,18633100
3/20/2019,154.539993,155.419998,152.410004,153.259995,151.630417,29463200
3/21/2019,152.729996,156.059998,152.729996,155.270004,153.619064,31845000
3/22/2019,154.199997,154.539993,149.570007,149.619995,148.029114,40663000
3/25/2019,149.479996,151.320007,148.410004,150.279999,148.682098,26454700
3/26/2019,151.470001,152.820007,150.789993,151.860001,150.245316,21308600
3/27/2019,151.710007,152.210007,149.479996,151.270004,149.661575,23477100
3/28/2019,151.789993,152.929993,150.929993,152.619995,150.997238,19473300
3/29/2019,153.679993,153.970001,152.100006,153.089996,151.462234,28298900
4/1/2019,154.289993,154.919998,153.720001,154.759995,153.114471,20075200
4/2/2019,154.869995,154.880005,153.509995,154.360001,152.718719,18253500
4/3/2019,155.740005,156.149994,154.729996,155.160004,153.510223,19554700
4/4/2019,155.279999,156.009995,154.839996,155.919998,154.262146,15909500
4/5/2019,156.300003,157.470001,156.190002,157.380005,155.706635,21379000
